file,oracle_cosim,reverse_oracle_cosim,function_node_id,function_size,program_size,function_ratio,actual,predicted
live_test/github_java/sort/1/28.java,0.14736070481287106,0.1298399856399129,445,149,629,0.2368839427662957,1,8
live_test/github_java/sort/1/65.java,0.1099290769532831,0.17155063010593588,556,171,561,0.3048128342245989,1,5
live_test/github_java/sort/1/1.java,0.047549428148399894,0.10578483280670009,422,179,539,0.3320964749536178,1,1
live_test/github_java/sort/1/31.java,nan,0.15205617753366796,None,0,266,0.0,1,1
live_test/github_java/sort/1/18.java,0.14676534686339188,0.0534013381955885,232,211,237,0.890295358649789,1,1
live_test/github_java/sort/1/115.java,nan,0.17499360099840375,None,0,317,0.0,1,1
live_test/github_java/sort/1/113.java,0.08353698387665925,0.008883114784065463,402,183,410,0.44634146341463415,1,1
live_test/github_java/sort/1/73.java,0.05625324645985246,0.2362344259492363,151,46,987,0.04660587639311044,1,5
live_test/github_java/sort/1/93.java,0.1473418683859139,0.08355010164965126,277,155,391,0.39641943734015345,1,1
live_test/github_java/sort/1/23.java,nan,0.18712396583955523,None,0,388,0.0,1,1
live_test/github_java/sort/1/30.java,0.1550774342505243,0.10087510140425911,252,200,500,0.4,1,1
live_test/github_java/sort/1/7.java,0.016576109811808386,0.01819391496887221,1038,326,3507,0.09295694325634446,1,5
live_test/github_java/sort/1/66.java,nan,0.07795247650619035,None,0,702,0.0,1,1
live_test/github_java/sort/1/89.java,0.08090161582304371,0.14009313006399451,601,155,765,0.20261437908496732,1,6
live_test/github_java/sort/1/56.java,0.0006501337005607626,0.036925586981714845,475,233,3043,0.07656917515609596,1,9
live_test/github_java/sort/1/38.java,0.11662294777258417,0.22180547680450585,228,95,483,0.19668737060041408,1,7
live_test/github_java/sort/1/92.java,0.1150339663285932,0.17511202499339856,391,348,849,0.4098939929328622,1,1
live_test/github_java/sort/1/2.java,0.12240112081769883,0.11609857488756846,241,186,247,0.7530364372469636,1,9
live_test/github_java/sort/1/48.java,0.10362476252206812,0.12769506506484946,326,155,394,0.3934010152284264,1,1
live_test/github_java/sort/1/85.java,0.12241412789174502,0.12793445330516867,484,161,489,0.3292433537832311,1,1
live_test/github_java/sort/1/9.java,nan,0.18556285985038143,None,0,541,0.0,1,5
live_test/github_java/sort/1/16.java,0.007104202805202707,0.050111790451921864,1877,314,2445,0.12842535787321063,1,4
live_test/github_java/sort/1/50.java,0.231802546839996,0.04631989952168254,301,262,306,0.8562091503267973,1,5
live_test/github_java/sort/1/20.java,0.20265394110187004,0.20064463218796444,166,133,446,0.2982062780269058,1,5
live_test/github_java/sort/1/59.java,0.16713472595771722,0.10835860867447522,417,152,422,0.36018957345971564,1,1
live_test/github_java/sort/2/14.java,0.13879875831392335,0.12936297138717362,563,484,1043,0.46404602109300097,2,8
live_test/github_java/sort/2/106.java,nan,0.08522636613695654,None,0,884,0.0,2,2
live_test/github_java/sort/2/88.java,0.008659680179996269,0.08309242632044612,628,123,1908,0.06446540880503145,2,2
live_test/github_java/sort/2/116.java,0.005793864746716666,0.09588501761950391,88,26,873,0.029782359679266894,2,2
live_test/github_java/sort/2/135.java,0.09234214637669798,0.11837636964554893,218,133,905,0.14696132596685083,2,6
live_test/github_java/sort/2/136.java,0.0036169117487829957,0.06708566156140497,74,26,778,0.033419023136246784,2,6
live_test/github_java/sort/2/87.java,0.002875621072573351,0.057474942162492694,498,174,1757,0.09903244166192374,2,2
live_test/github_java/sort/2/109.java,0.04515347317824289,0.19516408072007166,278,114,1090,0.10458715596330276,2,2
live_test/github_java/sort/2/12.java,0.008668618347631335,0.08304968649779375,561,123,1841,0.066811515480717,2,2
live_test/github_java/sort/2/80.java,0.0743245033587657,0.26658739751238364,798,115,948,0.12130801687763713,2,8
live_test/github_java/sort/2/64.java,0.0028756128723083016,0.057212334684144564,514,174,1773,0.09813874788494077,2,2
live_test/github_java/sort/2/34.java,0.008668618508748973,0.08295328351708141,565,123,1845,0.06666666666666667,2,2
live_test/github_java/sort/2/55.java,0.04869391563618975,0.26729505442621126,84,30,863,0.03476245654692932,2,2
live_test/github_java/sort/2/19.java,0.04311470807589762,0.20978252206316236,154,51,694,0.07348703170028818,2,2
live_test/github_java/sort/2/71.java,0.06101061806002653,0.16324431826969565,475,98,922,0.10629067245119306,2,2
live_test/github_java/sort/2/8.java,0.06319513619860216,0.11283762575151875,616,106,913,0.11610076670317634,2,2
live_test/github_java/sort/2/56.java,0.14708793836520667,0.03960077591785148,681,622,686,0.9067055393586005,2,3
live_test/github_java/sort/2/118.java,0.07396579195024817,0.12122527723221979,611,118,723,0.1632088520055325,2,2
live_test/github_java/sort/2/63.java,0.049437320515788405,0.17825701764049082,284,98,573,0.17102966841186737,2,2
live_test/github_java/sort/2/83.java,0.056617436740183574,0.17086446369051778,145,76,700,0.10857142857142857,2,2
