file,oracle_cosim,reverse_oracle_cosim,function_node_id,function_size,program_size,function_ratio,actual,predicted,confidence_score
live_test/github_java/sort_function/1/95.java,0.10624156181577141,0.1669191156602969,213,155,536,0.2891791044776119,1,6,6.1066835e-06 7.075008e-07 7.565346e-06 2.3514448e-07 1.2199398e-06 0.99997294 1.7053966e-06 1.3758893e-07 2.1389772e-06 7.336803e-06
live_test/github_java/sort_function/1/6.java,0.14508942552450454,0.1924413556912966,181,152,183,0.8306010928961749,1,7,0.016257934 0.0003250675 0.0005790571 3.6761066e-05 0.0007763519 0.00043891394 0.95083535 0.00044904364 0.030026665 0.00027481286
live_test/github_java/sort_function/1/112.java,nan,0.23008880186979486,None,1,342,0.0029239766081871343,1,6,0.07066171 1.0697377e-06 1.1931464e-06 1.6442792e-06 8.43535e-06 0.92929447 3.4911257e-06 4.4649428e-07 4.109785e-07 2.7085538e-05
live_test/github_java/sort_function/1/115.java,nan,0.21985897252545974,None,1,317,0.0031545741324921135,1,6,0.05116075 0.00057554635 0.0012762741 0.00030294532 0.003792966 0.94044566 0.00053878955 0.000113322174 0.0001527347 0.0016410776
live_test/github_java/sort_function/1/109.java,0.12211519949614681,0.1904543469308957,65,45,263,0.17110266159695817,1,10,0.13491917 0.11704008 0.038586862 0.025512278 0.046089858 0.020165654 0.13591518 0.10312548 0.04991741 0.32872814
live_test/github_java/sort_function/1/24.java,0.16002489660059338,0.17087354641585242,167,140,169,0.8284023668639053,1,1,0.81245434 0.0005853661 0.00076513557 0.00017247192 0.00069628557 0.0012617251 0.18091191 0.0012045465 0.0005968758 0.00135142
live_test/github_java/sort_function/1/12.java,0.16293898679652036,0.17099121601756465,209,187,211,0.8862559241706162,1,1,0.9538522 0.0008539318 0.00075466064 0.00058604643 0.00093973853 0.0020231197 0.03860692 0.0005866836 0.00037209052 0.0014246015
live_test/github_java/sort_function/1/44.java,0.13333418392493696,0.1725059689397252,175,155,177,0.8757062146892656,1,1,0.50834376 0.00043107345 0.0006193042 0.0004210469 0.008092226 0.0015988783 0.4234966 0.00063508196 0.025331488 0.0310306
live_test/github_java/sort_function/1/30.java,0.1326798860350121,0.2007957949371828,222,200,224,0.8928571428571429,1,1,0.94816464 0.00076351146 0.00079235865 0.00053588493 0.008895853 0.0090839565 0.027945435 0.00181305 0.00049697753 0.001508421
live_test/github_java/sort_function/1/102.java,0.23809574655873555,0.11893998909901729,254,220,256,0.859375,1,4,0.019901173 4.976418e-07 7.6308595e-07 0.54922056 0.4308687 2.8237214e-06 2.898966e-06 1.2659657e-06 9.369233e-07 3.4163983e-07
